,0
0,1.7853954650955187e-05
1,3.1481189988981584e-05
2,3.597963552629212e-05
3,3.5792261713017644e-05
4,8.340283569641368e-05
5,0.00010682048816963094
6,9.842035332906845e-05
7,0.0001296386323124291
8,0.00015337423312883436
9,0.00014878738282993602
10,0.00015326975476839238
11,0.00014757969303423848
12,0.00021356990307212092
13,0.00022434459329530158
14,0.0002457606291472106
15,0.00023782828797608128
16,0.0002786200114725887
17,0.00032139143586350314
18,0.00032289312237649337
19,0.0004648784342894333
20,0.0003785966683493185
21,0.0004986965884619744
22,0.0003836082525810164
23,0.00043207093477607453
24,0.0004242753377231688
25,0.0004658442962024373
26,0.00044794690999585234
27,0.000495575221238938
28,0.00044444444444444447
29,0.0006335414969680514
30,0.0009770395701025891
31,0.0007613661083315206
32,0.00046846243935084493
33,0.0007642682131858746
34,0.000572930709086007
35,0.0005834116617508832
36,0.0008236290008922648
37,0.001124459963307096
38,0.0008557016753738065
39,0.0009492406075139888
40,0.0008177846643854778
41,0.0007021532700280861
42,0.0006954678677286351
43,0.000777489818585709
44,0.0006906304469365607
45,0.0010878574388727726
46,0.001369623499242336
47,0.0015424164524421595
48,0.0008526187576126675
49,0.0008508126128628976
50,0.0013992404123475827
51,0.0008207430236842986
52,0.0017017434187677988
53,0.0008180300500834725
54,0.0025365493704745654
55,0.0009397532720500291
56,0.0009846043680630148
57,0.0010043827611395178
58,0.001024465628309979
59,0.001527073195983021
60,0.00172898839526433
61,0.0014784744148749562
62,0.0010522799398697178
63,0.0017271630661256717
64,0.0019088016967126194
65,0.0015294231889687317
66,0.0011345014496407413
67,0.001219162363740677
68,0.0017729571882984826
69,0.0011288930207849126
70,0.0016963105246089755
71,0.0018396277459149443
72,0.002009278137280974
73,0.001431578947368421
74,0.0014930721452460583
75,0.0019887568943572336
76,0.0014137339541196207
77,0.002255435599795507
78,0.0015389410527136011
79,0.012908496732026143
80,0.0016298741489581183
81,0.0026407273699692473
82,0.0029739510552151635
83,0.002085427135678392
84,0.002143318269851517
85,0.0028703831788629134
86,0.0018135733950967968
87,0.0020872101795503697
88,0.0014581869290231904
89,0.0016066589237320945
90,0.0019082214456501746
91,0.002629161519211885
92,0.003311965811965812
93,0.003298574164715897
94,0.0021468639626953533
95,0.002521691973969631
96,0.0016964920921578284
97,0.001759231234866828
98,0.003098009763424709
99,0.002584046773856755
100,0.002518571283199349
101,0.003153971136385358
102,0.0020476323009025487
103,0.0023133590872338513
104,0.0018027163259591152
105,0.002168512358415091
106,0.0027555579335990796
107,0.0030851255017073026
108,0.002109618220547272
109,0.002959685066521077
110,0.002971125277641561
111,0.002350524874486536
112,0.003240318369144619
113,0.0019262417713943746
114,0.005945509120295543
115,0.00327670675065216
116,0.003974454786330593
117,0.0022177572219273635
118,0.005857028434120945
119,0.0034484791322801226
120,0.0026657552973342446
121,0.0021323452301884155
122,0.002409162717219589
123,0.004978778974861247
124,0.004351858457587216
125,0.004006568144499179
126,0.0023358469744344306
127,0.00302294582500238
128,0.007421692379616643
129,0.003918664568484063
130,0.0025742373568460523
131,0.0027090443686006824
132,0.00282913789262642
133,0.004017970134143255
134,0.005056537665233317
135,0.002607561929595828
136,0.002958966102432444
137,0.002567054870797863
138,0.0038461538461538464
139,0.0031545741324921135
140,0.002966194111232279
141,0.005036663950818458
142,0.0036557174345465296
143,0.002797835791725812
144,0.003419147224456959
145,0.002597799511002445
146,0.0030331415317364735
147,0.004692454026632847
148,0.007785376117832719
149,0.0034002665073749024
150,0.00404603734383116
151,0.0038832913518052057
152,0.002886678369416813
153,0.004582185206972352
154,0.007394084732214229
155,0.003547884454033321
156,0.004760373110324863
157,0.0058313632781717886
158,0.006587439355499177
159,0.005387303436225976
160,0.005719585716494048
